SampleID	Experiment	Treatment	Water	Sampletype	Inoculation	Replica	Block	Row	Group	GroupNum	SampleWater
d1_13_2_203_R	Field	Mock	Drought	Root	I2	7	1	3	Mock_Drought_R_I2	7	Drought_R
d1_13_2_205_R	Field	Mock	Drought	Root	I2	8	1	3	Mock_Drought_R_I2	7	Drought_R
d1_13_2_208_R	Field	Mock	Drought	Root	I2	9	1	3	Mock_Drought_R_I2	7	Drought_R
d1_13_2_210_R	Field	Mock	Drought	Root	I2	10	1	3	Mock_Drought_R_I2	7	Drought_R
d2_12_2_166_R	Field	Mock	Drought	Root	I2	11	2	2	Mock_Drought_R_I2	7	Drought_R
d2_12_2_175_R	Field	Mock	Drought	Root	I2	12	2	2	Mock_Drought_R_I2	7	Drought_R
d2_12_2_176_R	Field	Mock	Drought	Root	I2	13	2	2	Mock_Drought_R_I2	7	Drought_R
d2_12_2_178_R	Field	Mock	Drought	Root	I2	14	2	2	Mock_Drought_R_I2	7	Drought_R
d2_12_2_200_R	Field	Mock	Drought	Root	I2	15	2	2	Mock_Drought_R_I2	7	Drought_R
d2_13_2_211_R	Field	Mock	Drought	Root	I2	16	2	3	Mock_Drought_R_I2	7	Drought_R
d2_13_2_214_R	Field	Mock	Drought	Root	I2	17	2	3	Mock_Drought_R_I2	7	Drought_R
d2_13_2_216_R	Field	Mock	Drought	Root	I2	18	2	3	Mock_Drought_R_I2	7	Drought_R
d2_13_2_218_R	Field	Mock	Drought	Root	I2	19	2	3	Mock_Drought_R_I2	7	Drought_R
d2_13_2_219_R	Field	Mock	Drought	Root	I2	20	2	3	Mock_Drought_R_I2	7	Drought_R
d1_18_2_323_R	Field	SynCom	Drought	Root	I2	1	1	8	SynCom_Drought_R_I2	8	Drought_R
d1_18_2_321_R	Field	SynCom	Drought	Root	I2	2	1	8	SynCom_Drought_R_I2	8	Drought_R
d1_18_2_326_R	Field	SynCom	Drought	Root	I2	3	1	8	SynCom_Drought_R_I2	8	Drought_R
d1_18_2_328_R	Field	SynCom	Drought	Root	I2	4	1	8	SynCom_Drought_R_I2	8	Drought_R
d1_18_2_330_R	Field	SynCom	Drought	Root	I2	5	1	8	SynCom_Drought_R_I2	8	Drought_R
d1_19_2_341_R	Field	SynCom	Drought	Root	I2	6	1	9	SynCom_Drought_R_I2	8	Drought_R
d1_19_2_344_R	Field	SynCom	Drought	Root	I2	7	1	9	SynCom_Drought_R_I2	8	Drought_R
d1_19_2_346_R	Field	SynCom	Drought	Root	I2	8	1	9	SynCom_Drought_R_I2	8	Drought_R
d1_19_2_348_R	Field	SynCom	Drought	Root	I2	9	1	9	SynCom_Drought_R_I2	8	Drought_R
d1_19_2_350_R	Field	SynCom	Drought	Root	I2	10	1	9	SynCom_Drought_R_I2	8	Drought_R
d2_18_2_325_R	Field	SynCom	Drought	Root	I2	11	2	8	SynCom_Drought_R_I2	8	Drought_R
d2_18_2_335_R	Field	SynCom	Drought	Root	I2	12	2	8	SynCom_Drought_R_I2	8	Drought_R
d2_18_2_337_R	Field	SynCom	Drought	Root	I2	13	2	8	SynCom_Drought_R_I2	8	Drought_R
d2_18_2_338_R	Field	SynCom	Drought	Root	I2	14	2	8	SynCom_Drought_R_I2	8	Drought_R
d2_18_2_340_R	Field	SynCom	Drought	Root	I2	15	2	8	SynCom_Drought_R_I2	8	Drought_R
d2_19_2_351_R	Field	SynCom	Drought	Root	I2	16	2	9	SynCom_Drought_R_I2	8	Drought_R
d2_19_2_354_R	Field	SynCom	Drought	Root	I2	17	2	9	SynCom_Drought_R_I2	8	Drought_R
d2_19_2_355_R	Field	SynCom	Drought	Root	I2	18	2	9	SynCom_Drought_R_I2	8	Drought_R
d2_19_2_357_R	Field	SynCom	Drought	Root	I2	19	2	9	SynCom_Drought_R_I2	8	Drought_R
d2_19_2_360_R	Field	SynCom	Drought	Root	I2	20	2	9	SynCom_Drought_R_I2	8	Drought_R
w1_2_1_11_Rh	Field	Mock	Watered	Rhizosphere	I1	1	1	2	Mock_Watered_Rh_I1	9	Watered_Rh
w1_2_1_12_Rh	Field	Mock	Watered	Rhizosphere	I1	2	1	2	Mock_Watered_Rh_I1	9	Watered_Rh
w1_2_1_13_Rh	Field	Mock	Watered	Rhizosphere	I1	3	1	2	Mock_Watered_Rh_I1	9	Watered_Rh
w1_2_1_3_Rh	Field	Mock	Watered	Rhizosphere	I1	4	1	2	Mock_Watered_Rh_I1	9	Watered_Rh
w1_2_1_9_Rh	Field	Mock	Watered	Rhizosphere	I1	5	1	2	Mock_Watered_Rh_I1	9	Watered_Rh
w1_3_1_23_Rh	Field	Mock	Watered	Rhizosphere	I1	6	1	3	Mock_Watered_Rh_I1	9	Watered_Rh
w1_3_1_26_Rh	Field	Mock	Watered	Rhizosphere	I1	7	1	3	Mock_Watered_Rh_I1	9	Watered_Rh
w1_3_1_27_Rh	Field	Mock	Watered	Rhizosphere	I1	8	1	3	Mock_Watered_Rh_I1	9	Watered_Rh
w1_3_1_29_Rh	Field	Mock	Watered	Rhizosphere	I1	9	1	3	Mock_Watered_Rh_I1	9	Watered_Rh
w1_3_1_31_Rh	Field	Mock	Watered	Rhizosphere	I1	10	1	3	Mock_Watered_Rh_I1	9	Watered_Rh
w2_2_1_14_Rh	Field	Mock	Watered	Rhizosphere	I1	11	2	2	Mock_Watered_Rh_I1	9	Watered_Rh
w2_2_1_17_Rh	Field	Mock	Watered	Rhizosphere	I1	12	2	2	Mock_Watered_Rh_I1	9	Watered_Rh
w2_2_1_18_Rh	Field	Mock	Watered	Rhizosphere	I1	13	2	2	Mock_Watered_Rh_I1	9	Watered_Rh
w2_2_1_19_Rh	Field	Mock	Watered	Rhizosphere	I1	14	2	2	Mock_Watered_Rh_I1	9	Watered_Rh
w2_2_1_20_Rh	Field	Mock	Watered	Rhizosphere	I1	15	2	2	Mock_Watered_Rh_I1	9	Watered_Rh
w2_3_1_35_Rh	Field	Mock	Watered	Rhizosphere	I1	16	2	3	Mock_Watered_Rh_I1	9	Watered_Rh
w2_3_1_37_Rh	Field	Mock	Watered	Rhizosphere	I1	17	2	3	Mock_Watered_Rh_I1	9	Watered_Rh
w2_3_1_38_Rh	Field	Mock	Watered	Rhizosphere	I1	18	2	3	Mock_Watered_Rh_I1	9	Watered_Rh
w2_3_1_39_Rh	Field	Mock	Watered	Rhizosphere	I1	19	2	3	Mock_Watered_Rh_I1	9	Watered_Rh
w2_3_1_40_Rh	Field	Mock	Watered	Rhizosphere	I1	20	2	3	Mock_Watered_Rh_I1	9	Watered_Rh
w1_8_1_123_Rh	Field	SynCom	Watered	Rhizosphere	I1	1	1	8	SynCom_Watered_Rh_I1	10	Watered_Rh
w1_8_1_125_Rh	Field	SynCom	Watered	Rhizosphere	I1	2	1	8	SynCom_Watered_Rh_I1	10	Watered_Rh
w1_8_1_126_Rh	Field	SynCom	Watered	Rhizosphere	I1	3	1	8	SynCom_Watered_Rh_I1	10	Watered_Rh
w1_8_1_127_Rh	Field	SynCom	Watered	Rhizosphere	I1	4	1	8	SynCom_Watered_Rh_I1	10	Watered_Rh
w1_8_1_129_Rh	Field	SynCom	Watered	Rhizosphere	I1	5	1	8	SynCom_Watered_Rh_I1	10	Watered_Rh
w1_9_1_141_Rh	Field	SynCom	Watered	Rhizosphere	I1	6	1	9	SynCom_Watered_Rh_I1	10	Watered_Rh
w1_9_1_142_Rh	Field	SynCom	Watered	Rhizosphere	I1	7	1	9	SynCom_Watered_Rh_I1	10	Watered_Rh
w1_9_1_146_Rh	Field	SynCom	Watered	Rhizosphere	I1	8	1	9	SynCom_Watered_Rh_I1	10	Watered_Rh
w1_9_1_148_Rh	Field	SynCom	Watered	Rhizosphere	I1	9	1	9	SynCom_Watered_Rh_I1	10	Watered_Rh
w1_9_1_149_Rh	Field	SynCom	Watered	Rhizosphere	I1	10	1	9	SynCom_Watered_Rh_I1	10	Watered_Rh
w2_8_1_131_Rh	Field	SynCom	Watered	Rhizosphere	I1	11	2	8	SynCom_Watered_Rh_I1	10	Watered_Rh
w2_9_1_159_Rh	Field	SynCom	Watered	Rhizosphere	I1	12	2	8	SynCom_Watered_Rh_I1	10	Watered_Rh
w2_8_1_133_Rh	Field	SynCom	Watered	Rhizosphere	I1	13	2	8	SynCom_Watered_Rh_I1	10	Watered_Rh
w2_8_1_135_Rh	Field	SynCom	Watered	Rhizosphere	I1	14	2	8	SynCom_Watered_Rh_I1	10	Watered_Rh
w2_8_1_140_Rh	Field	SynCom	Watered	Rhizosphere	I1	15	2	8	SynCom_Watered_Rh_I1	10	Watered_Rh
w2_9_1_151_Rh	Field	SynCom	Watered	Rhizosphere	I1	16	2	9	SynCom_Watered_Rh_I1	10	Watered_Rh
w2_9_1_152_Rh	Field	SynCom	Watered	Rhizosphere	I1	17	2	9	SynCom_Watered_Rh_I1	10	Watered_Rh
w2_9_1_153_Rh	Field	SynCom	Watered	Rhizosphere	I1	18	2	9	SynCom_Watered_Rh_I1	10	Watered_Rh
w2_9_1_154_Rh	Field	SynCom	Watered	Rhizosphere	I1	19	2	9	SynCom_Watered_Rh_I1	10	Watered_Rh
w2_8_1_132_Rh	Field	SynCom	Watered	Rhizosphere	I1	20	2	9	SynCom_Watered_Rh_I1	10	Watered_Rh
d1_12_1_160_Rh	Field	Mock	Drought	Rhizosphere	I1	1	1	2	Mock_Drought_Rh_I1	11	Drought_Rh
d1_12_1_162_Rh	Field	Mock	Drought	Rhizosphere	I1	2	1	2	Mock_Drought_Rh_I1	11	Drought_Rh
d1_12_1_164_Rh	Field	Mock	Drought	Rhizosphere	I1	3	1	2	Mock_Drought_Rh_I1	11	Drought_Rh
d1_12_1_170_Rh	Field	Mock	Drought	Rhizosphere	I1	4	1	2	Mock_Drought_Rh_I1	11	Drought_Rh
d1_12_1_171_Rh	Field	Mock	Drought	Rhizosphere	I1	5	1	2	Mock_Drought_Rh_I1	11	Drought_Rh
d1_13_1_201_Rh	Field	Mock	Drought	Rhizosphere	I1	6	1	3	Mock_Drought_Rh_I1	11	Drought_Rh
d1_13_1_203_Rh	Field	Mock	Drought	Rhizosphere	I1	7	1	3	Mock_Drought_Rh_I1	11	Drought_Rh
d1_13_1_205_Rh	Field	Mock	Drought	Rhizosphere	I1	8	1	3	Mock_Drought_Rh_I1	11	Drought_Rh
d1_13_1_208_Rh	Field	Mock	Drought	Rhizosphere	I1	9	1	3	Mock_Drought_Rh_I1	11	Drought_Rh
d1_13_1_210_Rh	Field	Mock	Drought	Rhizosphere	I1	10	1	3	Mock_Drought_Rh_I1	11	Drought_Rh
d2_12_1_166_Rh	Field	Mock	Drought	Rhizosphere	I1	11	2	2	Mock_Drought_Rh_I1	11	Drought_Rh
d2_12_1_175_Rh	Field	Mock	Drought	Rhizosphere	I1	12	2	2	Mock_Drought_Rh_I1	11	Drought_Rh
d2_12_1_176_Rh	Field	Mock	Drought	Rhizosphere	I1	13	2	2	Mock_Drought_Rh_I1	11	Drought_Rh
d2_12_1_178_Rh	Field	Mock	Drought	Rhizosphere	I1	14	2	2	Mock_Drought_Rh_I1	11	Drought_Rh
d2_12_1_200_Rh	Field	Mock	Drought	Rhizosphere	I1	15	2	2	Mock_Drought_Rh_I1	11	Drought_Rh
d2_13_1_211_Rh	Field	Mock	Drought	Rhizosphere	I1	16	2	3	Mock_Drought_Rh_I1	11	Drought_Rh
d2_13_1_214_Rh	Field	Mock	Drought	Rhizosphere	I1	17	2	3	Mock_Drought_Rh_I1	11	Drought_Rh
d2_13_1_216_Rh	Field	Mock	Drought	Rhizosphere	I1	18	2	3	Mock_Drought_Rh_I1	11	Drought_Rh
d2_13_1_218_Rh	Field	Mock	Drought	Rhizosphere	I1	19	2	3	Mock_Drought_Rh_I1	11	Drought_Rh
d2_13_1_219_Rh	Field	Mock	Drought	Rhizosphere	I1	20	2	3	Mock_Drought_Rh_I1	11	Drought_Rh
d1_18_1_321_Rh	Field	SynCom	Drought	Rhizosphere	I1	1	1	8	SynCom_Drought_Rh_I1	12	Drought_Rh
d1_18_1_323_Rh	Field	SynCom	Drought	Rhizosphere	I1	2	1	8	SynCom_Drought_Rh_I1	12	Drought_Rh
d1_18_1_326_Rh	Field	SynCom	Drought	Rhizosphere	I1	3	1	8	SynCom_Drought_Rh_I1	12	Drought_Rh
d1_18_1_328_Rh	Field	SynCom	Drought	Rhizosphere	I1	4	1	8	SynCom_Drought_Rh_I1	12	Drought_Rh
d1_18_1_330_Rh	Field	SynCom	Drought	Rhizosphere	I1	5	1	8	SynCom_Drought_Rh_I1	12	Drought_Rh
d1_19_1_341_Rh	Field	SynCom	Drought	Rhizosphere	I1	6	1	9	SynCom_Drought_Rh_I1	12	Drought_Rh
d1_19_1_344_Rh	Field	SynCom	Drought	Rhizosphere	I1	7	1	9	SynCom_Drought_Rh_I1	12	Drought_Rh
d1_19_1_346_Rh	Field	SynCom	Drought	Rhizosphere	I1	8	1	9	SynCom_Drought_Rh_I1	12	Drought_Rh
d1_19_1_348_Rh	Field	SynCom	Drought	Rhizosphere	I1	9	1	9	SynCom_Drought_Rh_I1	12	Drought_Rh
d1_19_1_350_Rh	Field	SynCom	Drought	Rhizosphere	I1	10	1	9	SynCom_Drought_Rh_I1	12	Drought_Rh
d2_18_1_325_Rh	Field	SynCom	Drought	Rhizosphere	I1	11	2	8	SynCom_Drought_Rh_I1	12	Drought_Rh
d2_18_1_335_Rh	Field	SynCom	Drought	Rhizosphere	I1	12	2	8	SynCom_Drought_Rh_I1	12	Drought_Rh
